================================================================================
********************************************************************************
Pure Minimum Conflict Algorithm Detail result
********************************************************************************
================================================================================
Below is spreadsheet-like data. Copy and paste on excel or google spreadsheet.

Pure Minimum Conflict Algorithm Detail
NQueen	Time	Iteration	SUCCESS/FAIL	Number of Trials
10	74	29	SUCCESS	1
10	4015	2108	SUCCESS	2
10	717	445	SUCCESS	3
10	183	125	SUCCESS	4
10	211	156	SUCCESS	5
10	588	481	SUCCESS	6
10	2226	1751	SUCCESS	7
10	427	344	SUCCESS	8
10	561	437	SUCCESS	9
10	189	163	SUCCESS	10
10	433	350	SUCCESS	11
10	198	156	SUCCESS	12
10	574	481	SUCCESS	13
10	2260	1751	SUCCESS	14
10	427	344	SUCCESS	15
10	585	437	SUCCESS	16
10	214	163	SUCCESS	17
10	501	350	SUCCESS	18
10	224	156	SUCCESS	19
10	811	481	SUCCESS	20
10	2375	1751	SUCCESS	21
10	427	344	SUCCESS	22
10	564	437	SUCCESS	23
10	189	163	SUCCESS	24
10	432	350	SUCCESS	25
10	200	156	SUCCESS	26
10	577	481	SUCCESS	27
10	2161	1751	SUCCESS	28
10	428	344	SUCCESS	29
10	653	437	SUCCESS	30
10	214	163	SUCCESS	31
10	494	350	SUCCESS	32
10	227	156	SUCCESS	33
10	658	481	SUCCESS	34
10	3120	1751	SUCCESS	35
10	668	344	SUCCESS	36
10	803	437	SUCCESS	37
10	191	163	SUCCESS	38
10	439	350	SUCCESS	39
10	198	156	SUCCESS	40
10	577	481	SUCCESS	41
10	2158	1751	SUCCESS	42
10	427	344	SUCCESS	43
10	563	437	SUCCESS	44
10	189	163	SUCCESS	45
10	434	350	SUCCESS	46
10	198	156	SUCCESS	47
10	573	481	SUCCESS	48
10	2406	1751	SUCCESS	49
10	591	344	SUCCESS	50
********************************************************************************
10	1131	685	SUCCESS	1
10	1611	1067	SUCCESS	2
10	1247	1005	SUCCESS	3
10	116	92	SUCCESS	4
10	1175	1005	SUCCESS	5
10	115	92	SUCCESS	6
10	1347	1005	SUCCESS	7
10	133	92	SUCCESS	8
10	2064	1005	SUCCESS	9
10	197	92	SUCCESS	10
10	1526	1005	SUCCESS	11
10	163	92	SUCCESS	12
10	1539	1005	SUCCESS	13
10	132	92	SUCCESS	14
10	1646	1005	SUCCESS	15
10	116	92	SUCCESS	16
10	1174	1005	SUCCESS	17
10	117	92	SUCCESS	18
10	1168	1005	SUCCESS	19
10	117	92	SUCCESS	20
10	1175	1005	SUCCESS	21
10	116	92	SUCCESS	22
10	1174	1005	SUCCESS	23
10	115	92	SUCCESS	24
10	1170	1005	SUCCESS	25
10	116	92	SUCCESS	26
10	1172	1005	SUCCESS	27
10	116	92	SUCCESS	28
10	1314	1005	SUCCESS	29
10	115	92	SUCCESS	30
10	1251	1005	SUCCESS	31
10	132	92	SUCCESS	32
10	1519	1005	SUCCESS	33
10	128	92	SUCCESS	34
10	1361	1005	SUCCESS	35
10	115	92	SUCCESS	36
10	1223	1005	SUCCESS	37
10	117	92	SUCCESS	38
10	1174	1005	SUCCESS	39
10	117	92	SUCCESS	40
10	1175	1005	SUCCESS	41
10	116	92	SUCCESS	42
10	1700	1005	SUCCESS	43
10	175	92	SUCCESS	44
10	1228	1005	SUCCESS	45
10	134	92	SUCCESS	46
10	1183	1005	SUCCESS	47
10	133	92	SUCCESS	48
10	1420	1005	SUCCESS	49
10	133	92	SUCCESS	50
********************************************************************************
