================================================================================
********************************************************************************
Pure Minimum Conflict with Backtracking Algorithm Detail result
********************************************************************************
================================================================================
Below is spreadsheet-like data. Copy and paste on excel or google spreadsheet.

Pure Minimum Conflict with Backtracking Algorithm Detail
NQueen	Time	Iteration	SUCCESS/FAIL	Number of Trials
10	1110	652	SUCCESS	0
10	1168	652	SUCCESS	1
10	1481	652	SUCCESS	2
10	1015	652	SUCCESS	3
10	1328	652	SUCCESS	4
10	856	652	SUCCESS	5
10	861	652	SUCCESS	6
10	880	652	SUCCESS	7
10	831	652	SUCCESS	8
10	831	652	SUCCESS	9
10	829	652	SUCCESS	10
10	834	652	SUCCESS	11
10	832	652	SUCCESS	12
10	829	652	SUCCESS	13
10	833	652	SUCCESS	14
10	829	652	SUCCESS	15
10	827	652	SUCCESS	16
10	830	652	SUCCESS	17
10	835	652	SUCCESS	18
10	833	652	SUCCESS	19
10	1011	652	SUCCESS	20
10	1146	652	SUCCESS	21
10	1149	652	SUCCESS	22
10	1425	652	SUCCESS	23
10	997	652	SUCCESS	24
10	856	652	SUCCESS	25
10	1037	652	SUCCESS	26
10	900	652	SUCCESS	27
10	831	652	SUCCESS	28
10	858	652	SUCCESS	29
10	837	652	SUCCESS	30
10	897	652	SUCCESS	31
10	910	652	SUCCESS	32
10	862	652	SUCCESS	33
10	830	652	SUCCESS	34
10	1046	652	SUCCESS	35
10	1195	652	SUCCESS	36
10	1085	652	SUCCESS	37
10	944	652	SUCCESS	38
10	1144	652	SUCCESS	39
10	902	652	SUCCESS	40
10	977	652	SUCCESS	41
10	831	652	SUCCESS	42
10	831	652	SUCCESS	43
10	831	652	SUCCESS	44
10	831	652	SUCCESS	45
10	830	652	SUCCESS	46
10	827	652	SUCCESS	47
10	832	652	SUCCESS	48
10	830	652	SUCCESS	49
********************************************************************************10	285	98	SUCCESS	1
10	608	274	SUCCESS	2
10	478	279	SUCCESS	3
10	55	29	SUCCESS	4
10	576	246	SUCCESS	5
10	1071	520	SUCCESS	6
10	1771	1100	SUCCESS	7
10	2530	2002	SUCCESS	8
10	1611	1285	SUCCESS	9
10	234	186	SUCCESS	10
10	38	27	SUCCESS	11
10	162	135	SUCCESS	12
10	1198	953	SUCCESS	13
10	1609	1285	SUCCESS	14
10	233	186	SUCCESS	15
10	38	27	SUCCESS	16
10	162	135	SUCCESS	17
10	1199	953	SUCCESS	18
10	1813	1285	SUCCESS	19
10	265	186	SUCCESS	20
10	43	27	SUCCESS	21
10	230	135	SUCCESS	22
10	1400	953	SUCCESS	23
10	1943	1285	SUCCESS	24
10	234	186	SUCCESS	25
10	38	27	SUCCESS	26
10	163	135	SUCCESS	27
10	1201	953	SUCCESS	28
10	1610	1285	SUCCESS	29
10	234	186	SUCCESS	30
10	38	27	SUCCESS	31
10	164	135	SUCCESS	32
10	1334	953	SUCCESS	33
10	2461	1285	SUCCESS	34
10	266	186	SUCCESS	35
10	44	27	SUCCESS	36
10	195	135	SUCCESS	37
10	1366	953	SUCCESS	38
10	2059	1285	SUCCESS	39
10	547	186	SUCCESS	40
10	66	27	SUCCESS	41
10	296	135	SUCCESS	42
10	2020	953	SUCCESS	43
10	1855	1285	SUCCESS	44
10	354	186	SUCCESS	45
10	53	27	SUCCESS	46
10	186	135	SUCCESS	47
10	1371	953	SUCCESS	48
10	1833	1285	SUCCESS	49
10	265	186	SUCCESS	50
********************************************************************************10	1552	792	SUCCESS	1
10	1302	693	SUCCESS	2
10	269	78	SUCCESS	3
10	232	100	SUCCESS	4
10	1122	659	SUCCESS	5
10	171	100	SUCCESS	6
10	403	291	SUCCESS	7
10	907	702	SUCCESS	8
10	1254	987	SUCCESS	9
10	186	114	SUCCESS	10
10	670	460	SUCCESS	11
10	150	100	SUCCESS	12
10	371	291	SUCCESS	13
10	1302	702	SUCCESS	14
10	1652	987	SUCCESS	15
10	147	114	SUCCESS	16
10	769	460	SUCCESS	17
10	202	100	SUCCESS	18
10	582	291	SUCCESS	19
10	1108	702	SUCCESS	20
10	1295	987	SUCCESS	21
10	146	114	SUCCESS	22
10	603	460	SUCCESS	23
10	128	100	SUCCESS	24
10	369	291	SUCCESS	25
10	892	702	SUCCESS	26
10	1255	987	SUCCESS	27
10	147	114	SUCCESS	28
10	600	460	SUCCESS	29
10	128	100	SUCCESS	30
10	371	291	SUCCESS	31
10	944	702	SUCCESS	32
10	1252	987	SUCCESS	33
10	146	114	SUCCESS	34
10	600	460	SUCCESS	35
10	128	100	SUCCESS	36
10	370	291	SUCCESS	37
10	1110	702	SUCCESS	38
10	1252	987	SUCCESS	39
10	147	114	SUCCESS	40
10	599	460	SUCCESS	41
10	128	100	SUCCESS	42
10	370	291	SUCCESS	43
10	887	702	SUCCESS	44
10	1255	987	SUCCESS	45
10	147	114	SUCCESS	46
10	602	460	SUCCESS	47
10	129	100	SUCCESS	48
10	370	291	SUCCESS	49
10	890	702	SUCCESS	50
********************************************************************************
10	935	465	SUCCESS	1
10	749	360	SUCCESS	2
10	1261	666	SUCCESS	3
10	762	360	SUCCESS	4
10	1068	666	SUCCESS	5
10	467	360	SUCCESS	6
10	855	666	SUCCESS	7
10	439	360	SUCCESS	8
10	855	666	SUCCESS	9
10	439	360	SUCCESS	10
10	853	666	SUCCESS	11
10	439	360	SUCCESS	12
10	851	666	SUCCESS	13
10	435	360	SUCCESS	14
10	853	666	SUCCESS	15
10	436	360	SUCCESS	16
10	850	666	SUCCESS	17
10	436	360	SUCCESS	18
10	951	666	SUCCESS	19
10	472	360	SUCCESS	20
10	1007	666	SUCCESS	21
10	592	360	SUCCESS	22
10	925	666	SUCCESS	23
10	522	360	SUCCESS	24
10	854	666	SUCCESS	25
10	437	360	SUCCESS	26
10	856	666	SUCCESS	27
10	438	360	SUCCESS	28
10	850	666	SUCCESS	29
10	437	360	SUCCESS	30
10	852	666	SUCCESS	31
10	440	360	SUCCESS	32
10	856	666	SUCCESS	33
10	437	360	SUCCESS	34
10	853	666	SUCCESS	35
10	437	360	SUCCESS	36
10	855	666	SUCCESS	37
10	437	360	SUCCESS	38
10	902	666	SUCCESS	39
10	440	360	SUCCESS	40
10	851	666	SUCCESS	41
10	436	360	SUCCESS	42
10	1012	666	SUCCESS	43
10	451	360	SUCCESS	44
10	852	666	SUCCESS	45
10	438	360	SUCCESS	46
10	852	666	SUCCESS	47
10	437	360	SUCCESS	48
10	849	666	SUCCESS	49
10	520	360	SUCCESS	50
********************************************************************************
