================================================================================
********************************************************************************
Pure Minimum Conflict with Backtracking Algorithm Detail result
********************************************************************************
================================================================================
Below is spreadsheet-like data. Copy and paste on excel or google spreadsheet.

Pure Minimum Conflict with Backtracking Algorithm Detail
NQueen	Time	Iteration	SUCCESS/FAIL	Number of Trials
10	2678	1280	SUCCESS	1
10	249	153	SUCCESS	2
10	558	329	SUCCESS	3
10	906	530	SUCCESS	4
10	1024	530	SUCCESS	5
10	1085	530	SUCCESS	6
10	844	530	SUCCESS	7
10	766	530	SUCCESS	8
10	772	530	SUCCESS	9
10	998	530	SUCCESS	10
10	1056	530	SUCCESS	11
10	1021	530	SUCCESS	12
10	764	530	SUCCESS	13
10	1114	530	SUCCESS	14
10	739	530	SUCCESS	15
10	717	530	SUCCESS	16
10	863	530	SUCCESS	17
10	665	530	SUCCESS	18
10	665	530	SUCCESS	19
10	666	530	SUCCESS	20
10	664	530	SUCCESS	21
10	662	530	SUCCESS	22
10	661	530	SUCCESS	23
10	792	530	SUCCESS	24
10	740	530	SUCCESS	25
10	763	530	SUCCESS	26
10	809	530	SUCCESS	27
10	1102	530	SUCCESS	28
10	724	530	SUCCESS	29
10	793	530	SUCCESS	30
10	665	530	SUCCESS	31
10	659	530	SUCCESS	32
10	666	530	SUCCESS	33
10	662	530	SUCCESS	34
10	663	530	SUCCESS	35
10	662	530	SUCCESS	36
10	662	530	SUCCESS	37
10	697	530	SUCCESS	38
10	666	530	SUCCESS	39
10	662	530	SUCCESS	40
10	667	530	SUCCESS	41
10	662	530	SUCCESS	42
10	663	530	SUCCESS	43
10	661	530	SUCCESS	44
10	659	530	SUCCESS	45
10	662	530	SUCCESS	46
10	789	530	SUCCESS	47
10	728	530	SUCCESS	48
10	666	530	SUCCESS	49
10	663	530	SUCCESS	50
********************************************************************************
10	4082	2254	SUCCESS	1
10	608	440	SUCCESS	2
10	2427	1860	SUCCESS	3
10	1585	1265	SUCCESS	4
10	565	441	SUCCESS	5
10	70	50	SUCCESS	6
10	1623	1248	SUCCESS	7
10	3719	1860	SUCCESS	8
10	1813	1265	SUCCESS	9
10	566	441	SUCCESS	10
10	69	50	SUCCESS	11
10	1574	1248	SUCCESS	12
10	2394	1860	SUCCESS	13
10	1609	1265	SUCCESS	14
10	565	441	SUCCESS	15
10	70	50	SUCCESS	16
10	1568	1248	SUCCESS	17
10	2395	1860	SUCCESS	18
10	1990	1265	SUCCESS	19
10	750	441	SUCCESS	20
10	168	50	SUCCESS	21
10	2024	1248	SUCCESS	22
10	2395	1860	SUCCESS	23
10	1579	1265	SUCCESS	24
10	564	441	SUCCESS	25
10	70	50	SUCCESS	26
10	1612	1248	SUCCESS	27
10	2429	1860	SUCCESS	28
10	1573	1265	SUCCESS	29
10	569	441	SUCCESS	30
10	69	50	SUCCESS	31
10	1684	1248	SUCCESS	32
10	3297	1860	SUCCESS	33
10	1620	1265	SUCCESS	34
10	564	441	SUCCESS	35
10	68	50	SUCCESS	36
10	1569	1248	SUCCESS	37
10	2394	1860	SUCCESS	38
10	1685	1265	SUCCESS	39
