================================================================================
********************************************************************************
Backtracking Algorithm Detail result
********************************************************************************
================================================================================
Below is spreadsheet-like data. Copy and paste on excel or google spreadsheet.

Backtracking Algorithm Detail
NQueen	Time	SUCCESS/FAIL	Number of Trials
4	16	SUCCESS	1
4	6	SUCCESS	2
4	5	SUCCESS	3
4	5	SUCCESS	4
4	5	SUCCESS	5
4	5	SUCCESS	6
4	5	SUCCESS	7
4	5	SUCCESS	8
4	5	SUCCESS	9
4	5	SUCCESS	10
4	5	SUCCESS	11
4	5	SUCCESS	12
4	5	SUCCESS	13
4	5	SUCCESS	14
4	5	SUCCESS	15
4	4	SUCCESS	16
4	5	SUCCESS	17
4	5	SUCCESS	18
4	5	SUCCESS	19
4	5	SUCCESS	20
4	5	SUCCESS	21
4	5	SUCCESS	22
4	5	SUCCESS	23
4	5	SUCCESS	24
4	5	SUCCESS	25
4	5	SUCCESS	26
4	4	SUCCESS	27
4	5	SUCCESS	28
4	4	SUCCESS	29
4	5	SUCCESS	30
4	4	SUCCESS	31
4	5	SUCCESS	32
4	5	SUCCESS	33
4	5	SUCCESS	34
4	5	SUCCESS	35
4	5	SUCCESS	36
4	5	SUCCESS	37
4	5	SUCCESS	38
4	4	SUCCESS	39
4	5	SUCCESS	40
4	5	SUCCESS	41
4	5	SUCCESS	42
4	5	SUCCESS	43
4	4	SUCCESS	44
4	5	SUCCESS	45
4	5	SUCCESS	46
4	5	SUCCESS	47
4	5	SUCCESS	48
4	5	SUCCESS	49
4	5	SUCCESS	50
********************************************************************************
6	45	SUCCESS	1
6	30	SUCCESS	2
6	28	SUCCESS	3
6	27	SUCCESS	4
6	26	SUCCESS	5
6	27	SUCCESS	6
6	27	SUCCESS	7
6	26	SUCCESS	8
6	26	SUCCESS	9
6	27	SUCCESS	10
6	27	SUCCESS	11
6	27	SUCCESS	12
6	27	SUCCESS	13
6	27	SUCCESS	14
6	27	SUCCESS	15
6	26	SUCCESS	16
6	26	SUCCESS	17
6	26	SUCCESS	18
6	26	SUCCESS	19
6	26	SUCCESS	20
6	26	SUCCESS	21
6	26	SUCCESS	22
6	26	SUCCESS	23
6	27	SUCCESS	24
6	26	SUCCESS	25
6	26	SUCCESS	26
6	26	SUCCESS	27
6	26	SUCCESS	28
6	26	SUCCESS	29
6	26	SUCCESS	30
6	26	SUCCESS	31
6	26	SUCCESS	32
6	26	SUCCESS	33
6	26	SUCCESS	34
6	26	SUCCESS	35
6	26	SUCCESS	36
6	26	SUCCESS	37
6	33	SUCCESS	38
6	26	SUCCESS	39
6	26	SUCCESS	40
6	26	SUCCESS	41
6	26	SUCCESS	42
6	26	SUCCESS	43
6	26	SUCCESS	44
6	26	SUCCESS	45
6	26	SUCCESS	46
6	26	SUCCESS	47
6	26	SUCCESS	48
6	26	SUCCESS	49
6	26	SUCCESS	50
********************************************************************************
7	25	SUCCESS	1
7	11	SUCCESS	2
7	9	SUCCESS	3
7	9	SUCCESS	4
7	9	SUCCESS	5
7	8	SUCCESS	6
7	8	SUCCESS	7
7	9	SUCCESS	8
7	8	SUCCESS	9
7	8	SUCCESS	10
