================================================================================
********************************************************************************
Pure Minimum Conflict Algorithm Summary result
********************************************************************************
================================================================================
Below is spreadsheet-like data. Copy and paste on excel or google spreadsheet.

Pure Minimum Conflict Algorith Summary
NQueen	AvgTime	AvgIteration	Number of Trials
4	7	29	50
5	6	15	50
6	660	1270	50
7	106	170	50
8	183	242	50
9	225	228	50
10	691	578	50
11	665	430	50
12	500	299	50
13	1042	500	50
14	1212	519	50
15	1204	444	50
16	1869	646	50
17	1673	482	50
18	1576	407	50
19	2510	556	50
20	2410	505	50
30	8078	776	50
40	14451	881	50
50	20914	812	50
60	44846	1207	50
70	60730	1367	50
80	87827	1471	50
90	136488	1907	50
100	142635	1507	50
4	6	22	50
5	9	26	50
6	170	336	50
7	106	152	50
8	99	126	50
9	238	238	50
10	585	501	50
11	2264	1493	50
12	822	496	50
13	1264	614	50
14	1048	448	50
15	1532	568	50
16	1272	442	50
17	2351	676	50
18	2650	688	50
19	2820	623	50
20	3639	765	50
30	6611	637	50
40	13504	822	50
50	27377	1062	50
60	43090	1158	50
70	43357	978	50
80	64773	1085	50
90	110962	1554	50
100	157179	1663	50
4	6	27	50
5	5	15	50
6	74	143	50
7	91	125	50
8	95	126	50
9	170	169	50
10	207	173	50
11	901	598	50
12	1934	1179	50
13	1064	512	50
14	1013	427	50
15	1731	641	50
16	1623	563	50
17	2114	600	50
18	2441	623	50
19	2577	572	50
20	2671	561	50
30	5787	555	50
40	15902	969	50
50	25243	980	50
60	44574	1200	50
70	57631	1297	50
80	82283	1377	50
90	116222	1628	50
100	153157	1622	50
4	11	49	50
5	8	24	50
6	69	150	50
7	152	217	50
8	176	227	50
9	318	320	50
10	439	364	50
11	209	142	50
12	632	376	50
13	926	437	50
14	1964	841	50
15	1300	485	50
16	1685	583	50
17	1621	468	50
18	2327	603	50
19	2971	660	50
20	2646	556	50
30	8077	775	50
40	14465	881	50
50	15927	620	50
60	41496	1116	50
70	50315	1132	50
80	72537	1216	50
90	114310	1600	50
100	156341	1655	50
4	4	13	50
5	8	22	50
6	287	538	50
7	56	78	50
8	163	211	50
9	302	300	50
10	432	361	50
11	502	328	50
12	752	453	50
13	1506	731	50
14	838	366	50
15	1644	608	50
16	1117	384	50
17	1613	463	50
18	1640	422	50
19	3008	664	50
20	2605	545	50
30	7271	698	50
40	14268	870	50
50	28500	1102	50
60	37732	1016	50
70	64716	1457	50
80	67861	1138	50
90	104173	1459	50
100	151807	1599	50
4	7	33	50
5	7	19	50
6	403	759	50
7	106	153	50
8	143	185	50
9	156	153	50
10	15239	14452	50
11	666	432	50
12	896	536	50
13	976	475	50
14	795	345	50
15	3522	1310	50
16	1242	429	50
17	2372	688	50
18	2132	551	50
19	2963	658	50
20	3664	771	50
30	7991	768	50
40	14602	890	50
50	21879	850	50
60	34207	921	50
70	47310	1067	50
80	74598	1251	50
90	106131	1487	50
100	173866	1841	50
4	6	23	50
5	11	30	50
6	256	483	50
7	127	177	50
8	128	172	50
9	311	315	50
10	544	451	50
11	825	541	50
12	896	539	50
13	630	303	50
14	1202	517	50
15	1248	464	50
16	1513	521	50
17	2264	653	50
18	3534	911	50
19	2678	595	50
20	4453	938	50
30	6994	670	50
40	13472	821	50
50	26734	1036	50
60	41848	1126	50
70	53644	1209	50
80	71581	1200	50
90	84024	1178	50
100	190626	2018	50
4	6	24	50
5	12	29	50
6	5512	12902	50
7	179	260	50
8	141	182	50
9	381	391	50
10	509	430	50
11	784	512	50
12	1048	627	50
13	2880	1392	50
14	1439	619	50
15	1982	713	50
16	1604	555	50
17	2067	595	50
18	1603	415	50
19	3705	821	50
20	863	186	50
30	5275	507	50
40	11778	719	50
50	26509	1028	50
60	36949	995	50
70	59929	1350	50
80	84872	1421	50
90	103818	1454	50
100	138491	1466	50
4	9	40	50
5	12	28	50
6	191	365	50
7	138	193	50
8	213	282	50
9	281	279	50
10	445	367	50
11	525	348	50
12	654	393	50
13	535	253	50
14	1459	629	50
15	1159	436	50
16	1626	561	50
17	3584	1032	50
18	2652	686	50
19	6073	1345	50
20	2148	451	50
30	8337	801	50
40	14827	903	50
50	26819	1042	50
60	41583	1119	50
70	59599	1249	50
80	112344	1881	50
90	101354	1419	50
100	156375	1653	50
4	7	29	50
5	10	28	50
6	173	349	50
7	67	100	50
8	171	222	50
9	185	180	50
10	9033	8384	50
11	1232	813	50
12	784	469	50
13	832	404	50
14	982	423	50
15	1768	652	50
16	1181	406	50
17	1510	434	50
18	2050	530	50
19	3570	778	50
20	3376	710	50
30	7364	706	50
40	14832	905	50
50	17916	696	50
60	44475	1197	50
70	73016	1643	50
80	73700	1233	50
90	113760	1592	50
100	147544	1562	50
