================================================================================
********************************************************************************
Pure Minimum Conflict with Backtracking Algorithm Summary result
********************************************************************************
================================================================================
Below is spreadsheet-like data. Copy and paste on excel or google spreadsheet.

Pure Minimum Conflict with Backtracking Algorithm Summary
NQueen	AvgTime	AvgIteration	Number of Trials
4	4	14	50
5	12	30	50
6	60	106	50
7	70	96	50
8	146	176	50
9	183	172	50
10	606	483	50
11	658	422	50
12	668	385	50
13	2048	970	50
14	1219	509	50
15	3556	1295	50
16	2595	876	50
17	2907	832	50
18	2450	624	50
19	2674	591	50
20	6458	1340	50
30	6851	656	50
40	13529	818	50
50	23492	906	50
60	43668	1171	50
70	52790	1189	50
80	95850	1598	50
90	93994	1315	50
100	148411	1557	50
4	4	16	50
5	6	14	50
6	25614	55265	50
7	19709	30326	50
8	70	91	50
9	279	260	50
10	1255	999	50
11	498	315	50
12	990	570	50
13	1405	660	50
14	2140	900	50
15	1843	675	50
16	1993	675	50
17	5020	1441	50
18	2641	674	50
19	1842	403	50
20	4452	929	50
30	9258	886	50
40	12511	758	50
50	25859	998	50
60	36994	993	50
70	57693	1299	50
80	100104	1669	50
90	108121	1513	50
100	135989	1423	50
4	5	19	50
5	5	14	50
6	396	701	50
7	86	114	50
8	170	208	50
9	268	248	50
10	470	370	50
11	9237	5830	50
12	1100	630	50
13	1010	475	50
14	1455	615	50
15	1894	692	50
16	2791	945	50
17	3055	876	50
18	1638	422	50
19	3507	772	50
20	3103	648	50
30	7710	739	50
40	15783	955	50
50	26842	1035	50
60	41888	1123	50
70	58178	1310	50
80	99432	1659	50
90	107958	1511	50
100	149405	1567	50
4	7	29	50
5	13	33	50
6	309	571	50
7	119	159	50
8	230	282	50
9	374	352	50
10	549	437	50
11	1244	785	50
12	1791	1025	50
13	1279	597	50
14	1542	647	50
15	1448	527	50
16	2845	958	50
17	3650	1035	50
18	2911	746	50
19	2948	648	50
20	3824	798	50
30	8005	766	50
40	13474	815	50
50	27556	1063	50
60	39114	1049	50
70	55532	1250	50
80	68739	1148	50
90	102512	1435	50
100	137069	1438	50
4	6	23	50
5	5	12	50
6	160	297	50
7	44	58	50
8	123	148	50
9	489	463	50
10	242	196	50
11	318	202	50
12	1724	1005	50
13	1754	831	50
14	2326	986	50
15	2227	814	50
16	1356	458	50
17	4218	1210	50
18	4164	1060	50
19	2355	517	50
20	3202	667	50
30	7208	692	50
40	15584	942	50
50	26270	1013	50
60	43069	1155	50
70	52086	1171	50
80	82083	1371	50
90	100561	1407	50
100	148860	1559	50
4	4	14	50
5	8	18	50
6	201	353	50
7	112	151	50
8	42	59	50
9	283	268	50
10	921	731	50
11	1681	1057	50
12	1862	1068	50
13	1166	552	50
14	597	251	50
15	1783	652	50
16	2872	973	50
17	5153	1474	50
18	2218	567	50
19	4120	908	50
20	3258	678	50
30	6499	623	50
40	12408	751	50
50	20330	784	50
60	41806	1121	50
70	53166	1197	50
80	79541	1328	50
90	97726	1368	50
100	151221	1584	50
4	8	36	50
5	29	78	50
6	109	189	50
7	61	80	50
8	250	304	50
9	305	285	50
10	772	613	50
11	1064	672	50
12	1442	827	50
13	1760	832	50
14	1858	783	50
15	1485	546	50
16	1872	631	50
17	2490	710	50
18	2964	757	50
19	5279	1160	50
20	3379	706	50
30	4231	404	50
40	13059	792	50
50	25953	1002	50
60	41300	1109	50
70	50992	1148	50
80	75485	1258	50
90	105889	1481	50
100	197361	2065	50
4	9	36	50
5	6	16	50
6	453	810	50
7	120	156	50
8	172	210	50
9	391	371	50
10	604	479	50
11	831	524	50
12	296	168	50
13	1343	638	50
14	1427	598	50
15	3599	1318	50
16	1400	475	50
17	2281	651	50
18	3632	924	50
19	3826	841	50
20	5109	1065	50
30	8239	789	50
40	12078	731	50
50	19214	741	50
60	47057	1263	50
70	61832	1392	50
80	84469	1409	50
90	108031	1512	50
100	144368	1512	50
4	14	59	50
5	8	20	50
6	141	250	50
7	107	141	50
8	242	294	50
9	340	320	50
10	1396	1103	50
11	1246	791	50
12	1351	778	50
13	1471	694	50
14	1608	677	50
15	20493	7488	50
16	1844	623	50
17	2118	603	50
18	3109	795	50
19	2416	531	50
20	2840	592	50
30	7453	713	50
40	16233	981	50
50	25416	981	50
60	41038	1101	50
70	53598	1206	50
80	83332	1391	50
90	104391	1461	50
100	157852	1652	50
4	28	132	50
5	6	14	50
6	378	654	50
7	80	108	50
8	144	177	50
9	336	315	50
10	890	699	50
11	970	612	50
12	1601	919	50
13	908	428	50
14	2739	1148	50
15	3749	1364	50
16	1482	500	50
17	1989	568	50
18	3045	779	50
19	2935	648	50
20	3325	694	50
30	8798	842	50
40	12700	768	50
50	24736	955	50
60	37874	1018	50
70	57103	1285	50
80	85785	1432	50
90	101634	1423	50
100	139244	1459	50
