================================================================================
********************************************************************************
Pure Minimum Conflict Algorithm Detail result
********************************************************************************
================================================================================
Below is spreadsheet-like data. Copy and paste on excel or google spreadsheet.

Pure Minimum Conflict Algorithm Detail
NQueen	Time	Iteration	SUCCESS/FAIL	Number of Trials
4	12	28	SUCCESS	1
4	3	7	SUCCESS	2
4	4	11	SUCCESS	3
4	3	7	SUCCESS	4
4	29	110	SUCCESS	5
4	3	7	SUCCESS	6
4	4	11	SUCCESS	7
4	3	7	SUCCESS	8
4	26	110	SUCCESS	9
4	3	7	SUCCESS	10
4	3	11	SUCCESS	11
4	3	7	SUCCESS	12
4	25	110	SUCCESS	13
4	3	7	SUCCESS	14
4	3	11	SUCCESS	15
4	2	7	SUCCESS	16
4	26	110	SUCCESS	17
4	2	7	SUCCESS	18
4	4	11	SUCCESS	19
4	2	7	SUCCESS	20
4	26	110	SUCCESS	21
4	2	7	SUCCESS	22
4	3	11	SUCCESS	23
4	3	7	SUCCESS	24
4	25	110	SUCCESS	25
4	3	7	SUCCESS	26
4	3	11	SUCCESS	27
4	2	7	SUCCESS	28
4	26	110	SUCCESS	29
4	2	7	SUCCESS	30
4	4	11	SUCCESS	31
4	2	7	SUCCESS	32
4	25	110	SUCCESS	33
4	3	7	SUCCESS	34
4	3	11	SUCCESS	35
4	3	7	SUCCESS	36
4	25	110	SUCCESS	37
4	2	7	SUCCESS	38
4	4	11	SUCCESS	39
4	2	7	SUCCESS	40
4	25	110	SUCCESS	41
4	3	7	SUCCESS	42
4	8	11	SUCCESS	43
4	3	7	SUCCESS	44
4	25	110	SUCCESS	45
4	3	7	SUCCESS	46
4	3	11	SUCCESS	47
4	3	7	SUCCESS	48
4	25	110	SUCCESS	49
4	2	7	SUCCESS	50
********************************************************************************
5	11	15	SUCCESS	1
5	10	18	SUCCESS	2
5	4	4	SUCCESS	3
5	9	15	SUCCESS	4
5	10	18	SUCCESS	5
5	7	18	SUCCESS	6
5	6	18	SUCCESS	7
5	6	18	SUCCESS	8
5	6	18	SUCCESS	9
5	6	18	SUCCESS	10
5	6	18	SUCCESS	11
5	7	18	SUCCESS	12
5	6	18	SUCCESS	13
5	7	18	SUCCESS	14
5	7	18	SUCCESS	15
5	7	18	SUCCESS	16
5	6	18	SUCCESS	17
5	6	18	SUCCESS	18
5	6	18	SUCCESS	19
5	7	18	SUCCESS	20
5	7	18	SUCCESS	21
5	6	18	SUCCESS	22
5	6	18	SUCCESS	23
5	7	18	SUCCESS	24
5	7	18	SUCCESS	25
5	7	18	SUCCESS	26
5	6	18	SUCCESS	27
5	6	18	SUCCESS	28
5	7	18	SUCCESS	29
5	6	18	SUCCESS	30
5	6	18	SUCCESS	31
5	6	18	SUCCESS	32
5	7	18	SUCCESS	33
5	7	18	SUCCESS	34
5	6	18	SUCCESS	35
5	6	18	SUCCESS	36
5	6	18	SUCCESS	37
5	6	18	SUCCESS	38
