================================================================================
********************************************************************************
Backtracking Algorithm Summary result
********************************************************************************
================================================================================
Below is spreadsheet-like data. Copy and paste on excel or google spreadsheet.

Backtracking Algorith Summary
NQueen	Number of Trials
4	5	50
5	4	50
6	27	50
7	8	50
8	130	50
9	52	50
10	163	50
11	95	50
12	562	50
13	274	50
14	5367	50
15	4382	50
16	34962	50
17	20925	50
18	176577	50
19	12907	50
20	1045636	50
4	5	50
5	4	50
6	26	50
7	8	50
8	131	50
9	52	50
10	163	50
11	95	50
12	562	50
13	274	50
14	5378	50
15	4376	50
16	34985	50
17	20938	50
18	176617	50
19	12889	50
20	1045533	50
4	5	50
5	4	50
6	26	50
7	8	50
8	131	50
9	53	50
10	163	50
11	95	50
12	563	50
13	274	50
14	5369	50
15	4376	50
16	34985	50
17	20929	50
18	176596	50
19	12891	50
20	1045375	50
4	5	50
5	4	50
6	26	50
7	8	50
8	131	50
9	53	50
10	163	50
11	95	50
12	562	50
13	274	50
14	5367	50
15	4382	50
16	34908	50
17	20930	50
18	176621	50
19	12871	50
20	1045895	50
4	5	50
5	4	50
6	27	50
7	8	50
8	131	50
9	52	50
10	163	50
11	95	50
12	564	50
13	274	50
14	5368	50
15	4372	50
16	34951	50
17	20936	50
18	176564	50
19	12886	50
20	1045395	50
4	5	50
5	4	50
6	27	50
7	9	50
8	131	50
9	52	50
10	163	50
11	95	50
12	562	50
13	274	50
14	5367	50
15	4373	50
16	35002	50
17	20935	50
18	176649	50
19	12898	50
20	1046902	50
4	5	50
5	4	50
6	27	50
7	8	50
8	131	50
9	52	50
10	163	50
11	95	50
12	562	50
13	274	50
14	5368	50
15	4370	50
16	35414	50
17	20932	50
18	176818	50
19	12934	50
20	1045636	50
4	5	50
5	4	50
6	26	50
7	8	50
8	130	50
9	53	50
10	163	50
11	95	50
12	562	50
13	274	50
14	5371	50
15	4379	50
16	34985	50
17	20918	50
18	176685	50
19	12906	50
20	1045422	50
4	5	50
5	4	50
6	27	50
7	8	50
8	131	50
9	53	50
10	165	50
11	97	50
12	562	50
13	274	50
14	5370	50
15	4381	50
16	34961	50
17	20947	50
18	176559	50
19	12884	50
20	1045993	50
4	5	50
5	4	50
6	26	50
7	8	50
8	131	50
9	52	50
10	163	50
11	95	50
12	562	50
13	274	50
14	5368	50
15	4372	50
16	34984	50
17	20916	50
18	176591	50
19	12886	50
20	1045698	50
