================================================================================
********************************************************************************
Pure Minimum Conflict with Backtracking Algorithm Detail result
********************************************************************************
================================================================================
Below is spreadsheet-like data. Copy and paste on excel or google spreadsheet.

Pure Minimum Conflict with Backtracking Algorithm Detail
NQueen	Time	Iteration	SUCCESS/FAIL	Number of Trials
4	24	73	SUCCESS	1
4	17	73	SUCCESS	2
4	15	73	SUCCESS	3
4	15	73	SUCCESS	4
4	15	73	SUCCESS	5
4	14	73	SUCCESS	6
4	18	73	SUCCESS	7
4	14	73	SUCCESS	8
4	14	73	SUCCESS	9
4	15	73	SUCCESS	10
4	14	73	SUCCESS	11
4	14	73	SUCCESS	12
4	15	73	SUCCESS	13
4	14	73	SUCCESS	14
4	14	73	SUCCESS	15
4	14	73	SUCCESS	16
4	14	73	SUCCESS	17
4	14	73	SUCCESS	18
4	14	73	SUCCESS	19
4	14	73	SUCCESS	20
4	14	73	SUCCESS	21
4	14	73	SUCCESS	22
4	13	73	SUCCESS	23
4	14	73	SUCCESS	24
4	15	73	SUCCESS	25
4	14	73	SUCCESS	26
4	14	73	SUCCESS	27
4	14	73	SUCCESS	28
4	14	73	SUCCESS	29
4	14	73	SUCCESS	30
4	14	73	SUCCESS	31
4	14	73	SUCCESS	32
4	14	73	SUCCESS	33
4	14	73	SUCCESS	34
4	15	73	SUCCESS	35
4	15	73	SUCCESS	36
4	14	73	SUCCESS	37
4	14	73	SUCCESS	38
4	14	73	SUCCESS	39
4	14	73	SUCCESS	40
4	14	73	SUCCESS	41
4	14	73	SUCCESS	42
4	14	73	SUCCESS	43
4	14	73	SUCCESS	44
4	14	73	SUCCESS	45
4	14	73	SUCCESS	46
4	14	73	SUCCESS	47
4	15	73	SUCCESS	48
4	14	73	SUCCESS	49
4	14	73	SUCCESS	50
********************************************************************************
5	12	16	SUCCESS	1
5	9	16	SUCCESS	2
5	7	16	SUCCESS	3
5	7	16	SUCCESS	4
5	6	16	SUCCESS	5
5	6	16	SUCCESS	6
5	6	16	SUCCESS	7
5	6	16	SUCCESS	8
5	6	16	SUCCESS	9
5	6	16	SUCCESS	10
5	6	16	SUCCESS	11
5	6	16	SUCCESS	12
5	6	16	SUCCESS	13
5	12	16	SUCCESS	14
5	5	16	SUCCESS	15
5	6	16	SUCCESS	16
5	6	16	SUCCESS	17
5	5	16	SUCCESS	18
5	6	16	SUCCESS	19
5	6	16	SUCCESS	20
5	5	16	SUCCESS	21
5	6	16	SUCCESS	22
5	6	16	SUCCESS	23
5	5	16	SUCCESS	24
5	6	16	SUCCESS	25
5	6	16	SUCCESS	26
5	5	16	SUCCESS	27
5	6	16	SUCCESS	28
5	6	16	SUCCESS	29
5	6	16	SUCCESS	30
5	5	16	SUCCESS	31
5	5	16	SUCCESS	32
5	5	16	SUCCESS	33
5	6	16	SUCCESS	34
5	6	16	SUCCESS	35
5	6	16	SUCCESS	36
5	5	16	SUCCESS	37
5	6	16	SUCCESS	38
